data,comune,nuovi_positivi
2020-10-06,bagheria,1
2020-10-07,bagheria,1
2020-10-08,bagheria,1
2020-10-09,bagheria,0
2020-10-10,bagheria,1
2020-10-11,bagheria,1
2020-10-12,bagheria,1
2020-10-13,bagheria,0
2020-10-14,bagheria,0
2020-10-15,bagheria,7
2020-10-16,bagheria,1
2020-10-17,bagheria,3
2020-10-18,bagheria,0
2020-10-19,bagheria,6
2020-10-20,bagheria,4
2020-10-21,bagheria,1
2020-10-22,bagheria,6
2020-10-23,bagheria,5
2020-10-24,bagheria,13
2020-10-25,bagheria,3
2020-10-26,bagheria,22
2020-10-27,bagheria,15
2020-10-28,bagheria,14
2020-10-29,bagheria,12
2020-10-30,bagheria,5
2020-10-31,bagheria,8
2020-11-01,bagheria,0
2020-11-02,bagheria,3
2020-11-03,bagheria,7
2020-11-04,bagheria,17
2020-11-05,bagheria,8
2020-11-06,bagheria,25
2020-11-07,bagheria,20
2020-11-08,bagheria,5
2020-11-09,bagheria,43
2020-11-10,bagheria,10
2020-11-11,bagheria,53
2020-11-12,bagheria,14
2020-11-13,bagheria,21
2020-11-14,bagheria,22
2020-11-15,bagheria,39
2020-11-16,bagheria,8
2020-11-17,bagheria,14
2020-11-18,bagheria,14
2020-11-19,bagheria,7
2020-11-20,bagheria,20
2020-11-21,bagheria,23
2020-11-22,bagheria,21
2020-11-23,bagheria,18
2020-11-24,bagheria,13
2020-11-25,bagheria,10
2020-11-26,bagheria,13
2020-11-27,bagheria,15
2020-11-28,bagheria,10
2020-11-29,bagheria,18
2020-11-30,bagheria,20
2020-12-01,bagheria,7
2020-12-02,bagheria,3
2020-12-03,bagheria,18
2020-12-04,bagheria,8
2020-12-05,bagheria,4
2020-12-06,bagheria,9
2020-12-07,bagheria,11
2020-12-08,bagheria,4
2020-12-09,bagheria,6
2020-12-10,bagheria,13
2020-12-11,bagheria,12
2020-12-12,bagheria,5
2020-12-13,bagheria,17
2020-12-14,bagheria,11
2020-12-15,bagheria,8
2020-12-16,bagheria,4
2020-12-17,bagheria,22
2020-12-18,bagheria,16
2020-12-19,bagheria,9
2020-12-20,bagheria,20
2020-12-21,bagheria,10
2020-12-22,bagheria,10
2020-12-23,bagheria,28
2020-12-24,bagheria,8
2020-12-25,bagheria,4
2020-12-26,bagheria,17
2020-12-27,bagheria,12
2020-12-28,bagheria,35
2020-12-29,bagheria,21
2020-12-30,bagheria,32
2020-12-31,bagheria,7
2021-01-01,bagheria,7
2021-01-02,bagheria,44
2021-01-03,bagheria,19
2021-01-04,bagheria,12
2021-01-05,bagheria,9
2021-01-06,bagheria,9
2021-01-07,bagheria,32
2021-01-08,bagheria,6
2021-01-09,bagheria,10
2021-01-10,bagheria,17
2021-01-11,bagheria,21
2021-01-12,bagheria,11
2021-01-13,bagheria,17
2021-01-14,bagheria,21
2021-01-15,bagheria,24
2021-01-16,bagheria,18
2021-01-17,bagheria,4
2021-01-18,bagheria,48
2021-01-19,bagheria,11
2021-01-20,bagheria,25
2021-01-21,bagheria,3
2021-01-22,bagheria,27
2021-01-23,bagheria,14
2021-01-24,bagheria,11
2021-01-25,bagheria,8
2021-01-26,bagheria,17
2021-01-27,bagheria,11
2021-01-28,bagheria,23
2021-01-29,bagheria,23
2021-01-30,bagheria,9
2021-01-31,bagheria,3
2021-02-01,bagheria,8
2021-02-02,bagheria,17
2021-02-03,bagheria,0
2021-02-04,bagheria,41
2021-02-05,bagheria,6
2021-02-06,bagheria,7
2021-02-07,bagheria,2
2021-02-08,bagheria,0
2021-02-09,bagheria,0
2021-02-10,bagheria,29
2021-02-11,bagheria,4
2021-02-12,bagheria,1
2021-02-13,bagheria,1
2021-02-14,bagheria,3
2021-02-15,bagheria,6
2021-02-16,bagheria,4
2021-02-17,bagheria,6
2021-02-18,bagheria,5
2021-02-19,bagheria,0
2021-02-20,bagheria,1
2021-02-21,bagheria,2
2021-02-22,bagheria,1
2021-02-23,bagheria,1
2021-02-24,bagheria,3
2021-02-25,bagheria,3
2021-02-26,bagheria,1
2021-02-27,bagheria,4
2021-02-28,bagheria,2
2021-03-01,bagheria,1
2021-03-02,bagheria,5
2021-03-03,bagheria,1
2021-03-04,bagheria,0
2021-03-05,bagheria,11
2021-03-06,bagheria,5
2021-03-07,bagheria,8
2021-03-08,bagheria,0
2021-03-09,bagheria,18
2021-03-10,bagheria,0
2021-03-11,bagheria,3
2021-03-12,bagheria,22
2021-03-13,bagheria,10
2021-03-14,bagheria,1
2021-03-15,bagheria,7
2021-03-16,bagheria,10
2021-03-17,bagheria,5
2021-03-18,bagheria,20
2021-03-19,bagheria,4
2021-03-20,bagheria,2
2021-03-21,bagheria,0
2021-03-22,bagheria,5
2021-03-23,bagheria,29
2021-03-24,bagheria,11
2021-03-25,bagheria,9
2021-03-26,bagheria,3
2021-03-27,bagheria,16
2021-03-28,bagheria,0
2021-03-29,bagheria,7
2021-03-30,bagheria,12
2021-03-31,bagheria,5
2021-04-01,bagheria,19
2021-04-02,bagheria,13
