"time","value"
2020-10-06,1
2020-10-07,1
2020-10-08,1
2020-10-09,0
2020-10-10,1
2020-10-11,1
2020-10-12,1
2020-10-13,0
2020-10-14,0
2020-10-15,7
2020-10-16,1
2020-10-17,3
2020-10-18,0
2020-10-19,6
2020-10-20,4
2020-10-21,1
2020-10-22,2
2020-10-23,5
2020-10-24,11
2020-10-25,3
2020-10-26,22
2020-10-27,15
2020-10-28,13
2020-10-29,12
2020-10-30,5
2020-10-31,8
2020-11-01,0
2020-11-02,3
2020-11-03,6
2020-11-04,16
2020-11-05,8
2020-11-06,25
2020-11-07,20
2020-11-08,5
2020-11-09,43
2020-11-10,10
2020-11-11,53
2020-11-12,14
2020-11-13,21
2020-11-14,21
2020-11-15,39
2020-11-16,8
2020-11-17,14
2020-11-18,14
2020-11-19,7
2020-11-20,20
2020-11-21,23
2020-11-22,21
2020-11-23,18
2020-11-24,13
2020-11-25,10
2020-11-26,13
2020-11-27,15
2020-11-28,10
2020-11-29,18
2020-11-30,20
2020-12-01,7
2020-12-02,3
2020-12-03,18
2020-12-04,8
2020-12-05,4
2020-12-06,9
2020-12-07,11
2020-12-08,4
2020-12-09,6
2020-12-10,13
2020-12-11,12
2020-12-12,5
2020-12-13,17
2020-12-14,11
2020-12-15,8
2020-12-16,4
2020-12-17,22
2020-12-18,16
2020-12-19,9
2020-12-20,20
2020-12-21,10
2020-12-22,10
2020-12-23,28
2020-12-24,8
2020-12-25,4
2020-12-26,17
2020-12-27,12
2020-12-28,35
2020-12-29,21
2020-12-30,33
2020-12-31,7
2021-01-01,7
2021-01-02,44
2021-01-03,19
2021-01-04,12
2021-01-05,9
2021-01-06,9
2021-01-07,32
2021-01-08,6
2021-01-09,10
2021-01-10,17
2021-01-11,21
2021-01-12,11
2021-01-13,17
2021-01-14,21
2021-01-15,24
2021-01-16,18
2021-01-17,4
2021-01-18,48
2021-01-19,11
2021-01-20,25
2021-01-21,3
2021-01-22,27
2021-01-23,14
2021-01-24,10
2021-01-25,8
2021-01-26,17
2021-01-27,11
2021-01-28,23
2021-01-29,23
2021-01-30,9
2021-01-31,3
2021-02-01,8
2021-02-02,17
2021-02-03,0
2021-02-04,41
2021-02-05,6
2021-02-06,7
2021-02-07,2
2021-02-08,0
2021-02-09,0
2021-02-10,29
2021-02-11,4
2021-02-12,1
2021-02-13,1
2021-02-14,3
2021-02-15,6
2021-02-16,4
2021-02-17,6
2021-02-18,5
2021-02-19,0
2021-02-20,1
2021-02-21,2
2021-02-22,1
2021-02-23,1
2021-02-24,3
2021-02-25,3
2021-02-26,0
2021-02-27,4
2021-02-28,2
2021-03-01,1
2021-03-02,5
2021-03-03,1
2021-03-04,0
2021-03-05,11
2021-03-06,5
2021-03-07,8
2021-03-08,0
2021-03-09,18
2021-03-10,0
2021-03-11,3
2021-03-12,22
2021-03-13,10
2021-03-14,1
2021-03-15,7
2021-03-16,9
2021-03-17,4
2021-03-18,0
2021-03-19,0
2021-03-20,0
