data,comune,nuovi_positivi,deceduti
2020-09-08,Ficarazzi,2,0
2020-09-09,Ficarazzi,1,0
2020-09-10,Ficarazzi,0,0
2020-09-11,Ficarazzi,0,0
2020-09-12,Ficarazzi,0,0
2020-09-13,Ficarazzi,0,0
2020-09-14,Ficarazzi,0,0
2020-09-15,Ficarazzi,0,0
2020-09-16,Ficarazzi,0,0
2020-09-17,Ficarazzi,0,0
2020-09-18,Ficarazzi,0,0
2020-09-19,Ficarazzi,0,0
2020-09-20,Ficarazzi,0,0
2020-09-21,Ficarazzi,2,0
2020-09-22,Ficarazzi,0,0
2020-09-23,Ficarazzi,0,0
2020-09-24,Ficarazzi,0,0
2020-09-25,Ficarazzi,0,0
2020-09-26,Ficarazzi,0,0
2020-09-27,Ficarazzi,0,0
2020-09-28,Ficarazzi,0,0
2020-09-29,Ficarazzi,0,0
2020-09-30,Ficarazzi,0,0
2020-10-01,Ficarazzi,0,0
2020-10-02,Ficarazzi,0,0
2020-10-03,Ficarazzi,0,0
2020-10-04,Ficarazzi,0,0
2020-10-05,Ficarazzi,0,0
2020-10-06,Ficarazzi,0,0
2020-10-07,Ficarazzi,0,0
2020-10-08,Ficarazzi,0,0
2020-10-09,Ficarazzi,0,0
2020-10-10,Ficarazzi,1,0
2020-10-11,Ficarazzi,0,0
2020-10-12,Ficarazzi,0,0
2020-10-13,Ficarazzi,0,0
2020-10-14,Ficarazzi,2,0
2020-10-15,Ficarazzi,0,0
2020-10-16,Ficarazzi,0,0
2020-10-17,Ficarazzi,3,0
2020-10-18,Ficarazzi,0,0
2020-10-19,Ficarazzi,0,0
2020-10-20,Ficarazzi,4,0
2020-10-21,Ficarazzi,1,0
2020-10-22,Ficarazzi,1,0
2020-10-23,Ficarazzi,1,0
2020-10-24,Ficarazzi,10,0
2020-10-25,Ficarazzi,0,0
2020-10-26,Ficarazzi,3,0
2020-10-27,Ficarazzi,6,0
2020-10-28,Ficarazzi,6,0
2020-10-29,Ficarazzi,3,0
2020-10-30,Ficarazzi,0,0
2020-10-31,Ficarazzi,4,0
2020-11-01,Ficarazzi,0,0
2020-11-02,Ficarazzi,0,0
2020-11-03,Ficarazzi,3,0
2020-11-04,Ficarazzi,1,0
2020-11-05,Ficarazzi,3,0
2020-11-06,Ficarazzi,6,0
2020-11-07,Ficarazzi,4,0
2020-11-08,Ficarazzi,5,1
2020-11-09,Ficarazzi,1,0
2020-11-10,Ficarazzi,3,0
2020-11-11,Ficarazzi,11,0
2020-11-12,Ficarazzi,21,0
2020-11-13,Ficarazzi,16,0
2020-11-14,Ficarazzi,14,0
2020-11-15,Ficarazzi,10,0
2020-11-16,Ficarazzi,3,0
2020-11-17,Ficarazzi,3,0
2020-11-18,Ficarazzi,0,0
2020-11-19,Ficarazzi,1,0
2020-11-20,Ficarazzi,4,0
2020-11-21,Ficarazzi,5,0
2020-11-22,Ficarazzi,4,0
2020-11-23,Ficarazzi,0,0
2020-11-24,Ficarazzi,4,0
2020-11-25,Ficarazzi,1,0
2020-11-26,Ficarazzi,8,0
2020-11-27,Ficarazzi,0,0
2020-11-28,Ficarazzi,0,0
2020-11-29,Ficarazzi,5,0
2020-11-30,Ficarazzi,6,0
